,accuracy,loss,iteration,triggers,lstm_accuracy,cnn_accuracy,finetuned_bert_accuracy
0,0.7304730473047305,0.5480232238769531,0,the_the_the,0.7843784378437844,0.8371837183718371,0.9251925192519251
1,0.20352035203520352,1.7300349473953247,1,unengaging_unengaging_unengaging,0.6798679867986799,0.7260726072607261,0.9306930693069307
2,0.16721672167216722,1.8795589208602905,2,unwatchable_unwatchable_uninspired,0.5071507150715071,0.07150715071507151,0.9328932893289329
3,0.15951595159515952,1.9218802452087402,3,unengaging_uninspired_uninspired,0.46644664466446645,0.015401540154015401,0.9306930693069307
4,0.1573157315731573,1.9532378911972046,4,unwatchable_unwatchable_uninspired,0.4521452145214521,0.0022002200220022,0.9284928492849285
5,0.1551155115511551,1.9641246795654297,5,unengaging_uninspired_uninspired,0.45104510451045104,0.0022002200220022,0.922992299229923
6,0.15181518151815182,1.9776713848114014,6,unwatchable_unwatchable_uninspired,0.44994499449944997,0.0022002200220022,0.9383938393839384
7,0.1496149614961496,1.9821991920471191,7,unengaging_uninspired_uninspired,0.44994499449944997,0.0022002200220022,0.9493949394939494
8,0.14631463146314633,1.9896382093429565,8,unwatchable_unwatchable_uninspired,0.44994499449944997,0.0022002200220022,0.9460946094609461
9,0.14631463146314633,1.9920963048934937,9,unengaging_uninspired_uninspired,0.44994499449944997,0.0022002200220022,0.9273927392739274
10,0.14521452145214522,1.9967728853225708,10,unwatchable_unwatchable_uninspired,0.44994499449944997,0.0022002200220022,0.9328932893289329
11,0.14521452145214522,1.998371958732605,11,unengaging_uninspired_uninspired,0.44994499449944997,0.0022002200220022,0.9196919691969196
12,0.14521452145214522,2.0015902519226074,12,unwatchable_unwatchable_uninspired,0.44994499449944997,0.0022002200220022,0.9262926292629263
13,0.14411441144114412,2.0027706623077393,13,unengaging_uninspired_uninspired,0.44994499449944997,0.0022002200220022,0.9240924092409241
14,0.14411441144114412,2.0051321983337402,14,unwatchable_unwatchable_uninspired,0.44994499449944997,0.0022002200220022,0.9306930693069307
15,0.14301430143014301,2.0060815811157227,15,unengaging_uninspired_uninspired,0.44994499449944997,0.0022002200220022,0.9416941694169417
16,0.14301430143014301,2.007899522781372,16,unwatchable_unwatchable_uninspired,0.44994499449944997,0.0022002200220022,0.9471947194719472
