,accuracy,loss,iteration,triggers
0,0.9823982398239824,0.07808138430118561,0,the_the_the
1,0.9691969196919692,0.10331567376852036,1,stros_Ġsloppy_ĠRational
2,0.39933993399339934,1.6781678199768066,2,hash_Instead_Ġlame
3,0.6138613861386139,1.0204650163650513,3,')._Ġstatistically_Ġsatire
4,0.5775577557755776,1.1359491348266602,4,Ġtropes_Ġgoddamn_Ġmemes
5,0.33993399339933994,1.8764902353286743,5,shit_Instead_Ġbland
6,0.2838283828382838,2.0621769428253174,6,')._Ġstatistically_Ġdump
7,0.0484048404840484,3.0846941471099854,7,ĠBEFORE_Ġshitty_Ġwaste
8,0.028602860286028604,3.204436779022217,8,Ġthou_Fuck_Ġdrag
9,0.0121012101210121,3.477597951889038,9,Ġcorpse_Ġincompetence_Ġdull
10,0.0022002200220022,3.7851321697235107,10,upid_Random_Ġfilling
11,0.0022002200220022,3.8481831550598145,11,syn_Ġlifeless_atern
12,0.0011001100110011,3.9171221256256104,12,"Ġwatered_Empty_Ġ""["
13,0.0,4.038786888122559,13,Ġappellant_package_Ġhint
14,0.0,4.222385406494141,14,Ġincompet_Ġperl_Ġshitty
15,0.0,4.220627784729004,15,Ġsyll_Ġblindly_Ġimitation
16,0.0,4.280454635620117,16,robe_ĠDJs_Ġlame
