,lstm,lstm_w2v,cnn,cnn_w2v
lstm,0.0,0.05921052631578947,0.0,0.01425438596491228
cnn,0.0,0.17982456140350878,0.0,0.01864035087719298
lstm_w2v,0.5219298245614035,0.0625,0.5219298245614035,0.06798245614035088
cnn_w2v,0.6502192982456141,0.0,0.6502192982456141,0.0
