,accuracy,loss,iteration,triggers
0,0.9331140350877193,0.21719466149806976,0,the_the_the
1,0.6513157894736842,0.6943693161010742,1,Ġexplores_Ġexplores_Ġexplores
2,0.12828947368421054,2.225536346435547,2,hur_Ġpowerfully_Ġpowerfully
3,0.041666666666666664,2.8153960704803467,3,Ġwelcomes_Amazing_Ġhealing
4,0.008771929824561403,3.296043872833252,4,",âĢĶ_Ġtransporting_Ġtransporting"
5,0.0010964912280701754,3.6556265354156494,5,Ġbeautifully_Beaut_Ġfascinating
6,0.0010964912280701754,3.7928662300109863,6,ĠBelfast_Ġexcruciating_Ġcleansing
7,0.0010964912280701754,3.7529425621032715,7,Ġdexter_Ġbeautifully_Ġlucid
8,0.0010964912280701754,3.8583414554595947,8,aret_Excellent_Ġrefreshing
9,0.0,4.001125812530518,9,"!),_Ġacutely_lasting"
10,0.0,3.8894357681274414,10,sonian_Ġwonderfully_Ġrefreshing
11,0.0,3.8370883464813232,11,aret_Amazing_Peace
12,0.0,4.021730422973633,12,",âĢĶ_Ġpiercing_Ġsuspense"
13,0.0,3.770387649536133,13,ahu_Excellent_Ġdelic
14,0.0,4.057725429534912,14,ĠDill_Beaut_Ġrefreshing
15,0.0,4.052778720855713,15,Ġdexterity_Ġwonderfully_rous
16,0.0,4.148799896240234,16,Ġ&_Beaut_Ġrefreshing
