,accuracy,loss,iteration,triggers,lstm_accuracy
0,0.9075907590759076,0.19391471147537231,0,the_the_the,0.8859649122807017
1,0.8371837183718371,0.3550521433353424,1,coli_._google,0.9046052631578947
2,0.636963696369637,0.8267266154289246,2,##cloth_worst_°f,0.9758771929824561
3,0.3773377337733773,1.4584544897079468,3,##olo_flop_valuable,0.9956140350877193
4,0.3718371837183718,1.4236363172531128,4,##rates_##pres_fail,0.9956140350877193
5,0.45764576457645767,1.2086868286132812,5,##tick_##tral_##iology,0.9967105263157895
6,0.41474147414741475,1.2982585430145264,6,pig_crap_##nsor,0.9978070175438597
7,0.5093509350935094,1.0460429191589355,7,##dog_mora_⟨,0.9978070175438597
8,0.46974697469746973,1.143539547920227,8,##com_##nsor_junk,0.9989035087719298
9,0.3641364136413641,1.385984182357788,9,##com_[CLS]_##ario,0.9989035087719298
10,0.14521452145214522,2.055148124694824,10,##cloth_##nsed_vacuum,0.9989035087719298
11,0.2299229922992299,1.8754537105560303,11,##hit_##nally_##sack,0.9989035087719298
12,0.20902090209020902,1.9166057109832764,12,##dro_propaganda_memo,0.9989035087719298
13,0.1793179317931793,2.0741589069366455,13,##cloth_crap_##roid,0.9989035087719298
14,0.26732673267326734,1.7910202741622925,14,##xon_rt_##ginal,0.9989035087719298
15,0.3102310231023102,1.6410595178604126,15,wilkes_##rb_persona,0.9989035087719298
16,0.25412541254125415,1.856851577758789,16,##cloth_##nsor_##nsed,0.9989035087719298
