,accuracy,loss,iteration,triggers
0,0.8965896589658966,0.22386962175369263,0,the_the_the
1,0.5368536853685368,0.8497422933578491,1,Ġnonexistent_Ġidiots_Ġidiots
2,0.30363036303630364,1.4387978315353394,2,ĠInstead_Ġunus_Ġunus
3,0.23432343234323433,1.4917672872543335,3,Ġreasonably_Ġuseless_Ġlame
4,0.7920792079207921,0.4273041784763336,4,ĠWorse_Runner_usable
5,0.4961496149614962,0.9313260912895203,5,Ġmeaningless_Ġduplication_Ġcrap
6,0.19691969196919692,1.5859649181365967,6,Ġanyways_Ġlazy_Ġlame
7,0.9284928492849285,0.20533886551856995,7,Ġequivalent_Ġmanure_Excellent
8,0.5412541254125413,0.8571077585220337,8,Ġnonexistent_Ġmeaningless_Roaming
9,0.5247524752475248,0.9076221585273743,9,ĠWorse_Empty_failed
10,0.6963696369636964,0.5529613494873047,10,Ġidiots_oddy_ny
11,0.32453245324532454,1.2502472400665283,11,Ġmeaningless_Ġlazy_Ġirresponsible
12,0.28492849284928495,1.4917465448379517,12,ĠENT_Empty_Ġuseless
13,0.5687568756875687,0.7905454635620117,13,Ġpseud_Ġbuggy_oddy
14,0.1639163916391639,1.7991840839385986,14,Ġmetrics_Ġinco_Ġuseless
15,0.6336633663366337,0.6983047723770142,15,Example_ĠLiver_ĠLack
16,0.31573157315731576,1.2598085403442383,16,lihood_entary_Ġlousy
