,accuracy,loss,iteration,triggers
0,0.8969298245614035,0.26606589555740356,0,the_the_the
1,0.7225877192982456,0.5764681100845337,1,journeys_grace_##idian
2,0.13925438596491227,2.59659481048584,2,beautifully_amazing_promising
3,0.13925438596491227,2.5390303134918213,3,dawn_healing_warming
4,0.1425438596491228,2.5705454349517822,4,hearts_delight_beautifully
5,0.14692982456140352,2.474586248397827,5,journey_stunning_gifted
6,0.10526315789473684,2.7207257747650146,6,##®_Very_fun
7,0.09758771929824561,2.651628255844116,7,beautifully_amazing_remarkably
8,0.10526315789473684,2.526646614074707,8,curated_healing_strengthening
9,0.0581140350877193,2.842531204223633,9,journeys_powerful_captures
10,0.03070175438596491,3.044513463973999,10,photography_beautifully_superb
11,0.03508771929824561,3.0117430686950684,11,delivers_captures_captures
12,0.02631578947368421,3.0708727836608887,12,photography_amazing_brightly
13,0.025219298245614034,3.1084864139556885,13,moments_amber_heal
14,0.01864035087719298,3.2242212295532227,14,journeys_uniquely_stunning
15,0.01206140350877193,3.296358585357666,15,riot_Immaculate_superb
16,0.007675438596491228,3.361370325088501,16,beautifully_beautifully_##ingly
