Generated by,distilbert-base-cased,bert-base-cased,roberta-base,distilroberta-base
bert-base-cased,0.29385964912280704,0.28618421052631576,0.7554824561403509,0.9287280701754386
distilbert-base-cased,0.11842105263157894,0.3574561403508772,0.7521929824561403,0.9407894736842105
distilroberta-base,0.9078947368421053,0.9221491228070176,0.3168859649122807,0.22807017543859648
roberta-base,0.8925438596491229,0.9122807017543859,0.17105263157894737,0.5087719298245614
