,accuracy,loss,triggers,iteration
0,0.9111842105263158,0.2324480563402176,the_the_the,0
1,0.8991228070175439,0.253775954246521,##itative_rooney_##uration,1
2,0.6348684210526315,1.1736892461776733,journey_warmly_##ditional,2
3,0.5975877192982456,1.3038971424102783,##hana_smashwords_longevity,3
4,0.5175438596491229,1.6204956769943237,##ditional_smashwords_##hila,4
5,0.31030701754385964,2.6557536125183105,journey_appreciated_experience,5
6,0.26096491228070173,3.1282572746276855,##uh_levant_wonderful,6
7,0.2675438596491228,3.081785202026367,##ditional_##ditional_spectator,7
8,0.10307017543859649,3.988051652908325,fest_refreshing_refreshing,8
9,0.13706140350877194,3.731390953063965,##haling_sterling_gladly,9
10,0.09539473684210527,4.074821472167969,##ditional_##asurable_##ivating,10
11,0.046052631578947366,4.514601230621338,je_stunning_beautifully,11
12,0.05482456140350877,4.51780366897583,##ditional_jd_loves,12
13,0.02412280701754386,4.7044878005981445,##hana_refreshing_##ckman,13
14,0.023026315789473683,4.7917375564575195,##hila_##gur_enjoyed,14
15,0.023026315789473683,4.764409065246582,kapoor_immersion_##dhi,15
16,0.021929824561403508,4.691996097564697,rave_photography_enjoyed,16
