,lstm,lstm_w2v,cnn,cnn_w2v
lstm,1.2073062658309937,1.1194660663604736,1.2073062658309937,1.178225040435791
cnn,14.512758255004883,1.9714276790618896,14.512758255004883,4.045992851257324
lstm_w2v,0.8479381203651428,3.2626874446868896,0.8479381203651428,3.150735855102539
cnn_w2v,0.5878067016601562,7.3490519523620605,0.5878067016601562,8.854227066040039
