,accuracy,loss,iteration,triggers,lstm_accuracy,cnn_accuracy,finetuned_bert_accuracy
0,0.8393839383938394,0.37802591919898987,0,the_the_the,0.7843784378437844,0.8371837183718371,0.9317931793179318
1,0.0,7.375819683074951,1,unfunny_unengaging_unengaging,0.5291529152915292,0.052805280528052806,0.9328932893289329
2,0.0,10.816659927368164,2,unengaging_unengaging_unengaging,0.49944994499449946,0.005500550055005501,0.9328932893289329
3,0.0,10.872360229492188,3,unengaging_unengaging_unengaging,0.47854785478547857,0.0033003300330033004,0.9284928492849285
4,0.0,10.872360229492188,4,unengaging_unengaging_unengaging,0.46974697469746973,0.0033003300330033004,0.9207920792079208
5,0.0,10.872360229492188,5,unengaging_unengaging_unengaging,0.4598459845984598,0.0033003300330033004,0.935093509350935
6,0.0,10.872360229492188,6,unengaging_unengaging_unengaging,0.45434543454345433,0.0033003300330033004,0.9295929592959296
7,0.0,10.872360229492188,7,unengaging_unengaging_unengaging,0.4521452145214521,0.0033003300330033004,0.9405940594059405
8,0.0,10.872360229492188,8,unengaging_unengaging_unengaging,0.45104510451045104,0.0033003300330033004,0.9361936193619362
9,0.0,10.872360229492188,9,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.944994499449945
10,0.0,10.872360229492188,10,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9273927392739274
11,0.0,10.872360229492188,11,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9295929592959296
12,0.0,10.872360229492188,12,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9218921892189219
13,0.0,10.872360229492188,13,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9218921892189219
14,0.0,10.872360229492188,14,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9383938393839384
15,0.0,10.872360229492188,15,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9438943894389439
16,0.0,10.872360229492188,16,unengaging_unengaging_unengaging,0.44994499449944997,0.0033003300330033004,0.9482948294829483
