,accuracy,loss,iteration,triggers
0,0.875,0.30353087186813354,0,the_the_the
1,0.16447368421052633,2.21513295173645,1,spellbinding_spellbinding_spellbinding
2,0.1513157894736842,2.3067433834075928,2,heartwarming_joyful_joyful
3,0.1524122807017544,2.297107458114624,3,infectiously_heartwarming_joyful
4,0.1513157894736842,2.3067433834075928,4,heartwarming_joyful_joyful
5,0.1524122807017544,2.297107458114624,5,infectiously_heartwarming_joyful
6,0.1513157894736842,2.3067433834075928,6,heartwarming_joyful_joyful
7,0.1524122807017544,2.297107458114624,7,infectiously_heartwarming_joyful
8,0.1513157894736842,2.3067433834075928,8,heartwarming_joyful_joyful
9,0.1524122807017544,2.297107458114624,9,infectiously_heartwarming_joyful
10,0.1513157894736842,2.3067433834075928,10,heartwarming_joyful_joyful
11,0.1524122807017544,2.297107458114624,11,infectiously_heartwarming_joyful
12,0.1513157894736842,2.3067433834075928,12,heartwarming_joyful_joyful
13,0.1524122807017544,2.297107458114624,13,infectiously_heartwarming_joyful
14,0.1513157894736842,2.3067433834075928,14,heartwarming_joyful_joyful
15,0.1524122807017544,2.297107458114624,15,infectiously_heartwarming_joyful
16,0.1513157894736842,2.3067433834075928,16,heartwarming_joyful_joyful
