Wall time,Step,Value
1613652733.155728,100,0.989062488079071
1613652747.0338128,200,0.9945312738418579
1613652765.9013898,300,1.0
1613652779.6235158,400,1.0
1613652798.1460044,500,1.0
1613652812.2671318,600,1.0
