,accuracy,loss,iteration,triggers,lstm_accuracy,cnn_accuracy,finetuned_bert_accuracy
0,0.8146929824561403,0.38073495030403137,0,the_the_the,0.7927631578947368,0.768640350877193,0.8421052631578947
1,0.05921052631578947,2.8591115474700928,1,fearlessly_fearlessly_fearlessly,0.6019736842105263,0.7609649122807017,0.8322368421052632
2,0.0,8.021778106689453,2,captivates_heartwarming_heartwarming,0.0010964912280701754,0.1425438596491228,0.8388157894736842
3,0.0,8.699058532714844,3,infuses_heartwarming_heartwarming,0.0,0.010964912280701754,0.8355263157894737
4,0.0,8.934207916259766,4,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8399122807017544
5,0.0,9.140739440917969,5,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8245614035087719
6,0.0,9.140739440917969,6,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8212719298245614
7,0.0,9.140739440917969,7,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8245614035087719
8,0.0,9.140739440917969,8,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8289473684210527
9,0.0,9.140739440917969,9,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8344298245614035
10,0.0,9.140739440917969,10,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8322368421052632
11,0.0,9.140739440917969,11,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8278508771929824
12,0.0,9.140739440917969,12,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8333333333333334
13,0.0,9.140739440917969,13,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8289473684210527
14,0.0,9.140739440917969,14,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8355263157894737
15,0.0,9.140739440917969,15,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8278508771929824
16,0.0,9.140739440917969,16,infuses_captivating_heartwarming,0.0,0.010964912280701754,0.8114035087719298
