,accuracy,loss,iteration,triggers,lstm_accuracy,finetuned_bert_accuracy,lstm_w2v_accuracy
0,0.8206820682068207,0.4379465579986572,0,the_the_the,0.7843784378437844,0.9383938393839384,0.7392739273927392
1,0.0,7.745556354522705,1,stupid_stupid_stupid,0.4235423542354235,0.605060506050605,0.3586358635863586
2,0.0,11.335310935974121,2,suffers_stupid_stupid,0.41254125412541254,0.5577557755775577,0.2948294829482948
3,0.0,11.351099014282227,3,suffers_stupid_stupid,0.41034103410341033,0.5841584158415841,0.2915291529152915
4,0.0,11.351099014282227,4,suffers_stupid_stupid,0.40924092409240925,0.6072607260726073,0.2893289328932893
5,0.0,11.351099014282227,5,suffers_stupid_stupid,0.4081408140814081,0.6017601760176018,0.28272827282728275
6,0.0,11.351099014282227,6,suffers_stupid_stupid,0.4081408140814081,0.6006600660066007,0.2816281628162816
7,0.0,11.351099014282227,7,suffers_stupid_stupid,0.4081408140814081,0.5852585258525853,0.2794279427942794
8,0.0,11.351099014282227,8,suffers_stupid_stupid,0.4081408140814081,0.5643564356435643,0.2794279427942794
9,0.0,11.351099014282227,9,suffers_stupid_stupid,0.4081408140814081,0.5555555555555556,0.2794279427942794
10,0.0,11.351099014282227,10,suffers_stupid_stupid,0.4081408140814081,0.5401540154015402,0.27832783278327833
11,0.0,11.351099014282227,11,suffers_stupid_stupid,0.4081408140814081,0.5082508250825083,0.27722772277227725
12,0.0,11.351099014282227,12,suffers_stupid_stupid,0.4081408140814081,0.5247524752475248,0.2761276127612761
13,0.0,11.351099014282227,13,suffers_stupid_stupid,0.4081408140814081,0.5269526952695269,0.2761276127612761
14,0.0,11.351099014282227,14,suffers_stupid_stupid,0.4081408140814081,0.5412541254125413,0.2761276127612761
15,0.0,11.351099014282227,15,suffers_stupid_stupid,0.4081408140814081,0.5379537953795379,0.2761276127612761
16,0.0,11.351099014282227,16,suffers_stupid_stupid,0.4081408140814081,0.5203520352035204,0.2761276127612761
